No.,Time,Source,Destination,Protocol,Length,Info,Label
326,59.082654,192.168.159.153,192.168.159.150,ICMP,98,"Echo (ping) reply    id=0x6973, seq=9/2304, ttl=64 (request in 325)",
327,60.08391,192.168.159.150,192.168.159.153,ICMP,98,"Echo (ping) request  id=0x6973, seq=10/2560, ttl=64 (reply in 328)",
328,60.084199,192.168.159.153,192.168.159.150,ICMP,98,"Echo (ping) reply    id=0x6973, seq=10/2560, ttl=64 (request in 327)",
329,61.244744,Vmware_32:2e:c9,Broadcast,ARP,42,Who has 192.168.159.2? Tell 192.168.159.150,
330,62.202556,Vmware_e8:f1:88,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,
331,62.250424,Vmware_32:2e:c9,Broadcast,ARP,42,Who has 192.168.159.2? Tell 192.168.159.150,
332,62.686154,Vmware_32:2e:c9,Broadcast,ARP,42,Who has 192.168.159.154? Tell 192.168.159.150,
333,62.686654,Vmware_c8:d3:2f,Vmware_32:2e:c9,ARP,60,192.168.159.154 is at 00:0c:29:c8:d3:2f,
334,62.686661,192.168.159.150,192.168.159.154,ICMP,98,"Echo (ping) request  id=0x6974, seq=1/256, ttl=64 (reply in 335)",
335,62.688981,192.168.159.154,192.168.159.150,ICMP,98,"Echo (ping) reply    id=0x6974, seq=1/256, ttl=128 (request in 334)",
336,63.199961,Vmware_e8:f1:88,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,
337,63.27469,Vmware_32:2e:c9,Broadcast,ARP,42,Who has 192.168.159.2? Tell 192.168.159.150,
338,63.402273,192.168.159.151,192.168.159.152,DNS,81,Standard query 0xa8ab A 3.ubuntu.pool.ntp.org,
